,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Dolar oficial,1427,,,,,,
,Dolar CCl,,,,,,,
,,,,,,,,
,,Acciones,en USD,,,,,
,,,,,,,,
,,Ticker,Valor compra,Total compra,Total al dia,Valor del dia,Diferencia,
,,MU,"$394,69","$1.263,01","$3.405,12","$1.064,10","$2.142,11","169,60%"
,,GOOGL,"$167,15","$982,87","$2.127,43","$361,85","$1.144,56","116,48%"
,,MSFT,"$388,64","$984,56","$1.117,99","$441,31","$133,43","13,55%"
,,TSM,"$147,08","$2.262,14","$6.104,76","$446,69","$3.842,63","203,70%"
,,,,"$5.492,57","$12.755,30",,"$7.262,72","132,23%"
,,,,,,,"$10.361.962,05",