Periodo,Ranking,Barrio,Estrenar,Pozo,Index,Usado
may. 26,1,Puerto Madero,6.335,6.607,5.830,5.652
may. 26,2,Palermo,3.534,3.349,3.261,3.129
may. 26,3,Belgrano,3.546,3.352,3.063,2.865
may. 26,4,Nuñez,3.121,3.150,3.026,2.923
may. 26,5,Recoleta,3.400,3.362,2.870,2.792
may. 26,6,Colegiales,3.154,3.104,2.838,2.653
may. 26,7,Retiro,3.438,3.917,2.816,2.767
may. 26,8,Coghlan,2.793,2.784,2.691,2.590
may. 26,9,Villa Urquiza,2.747,2.681,2.683,2.620
may. 26,10,Chacarita,2.822,2.647,2.641,2.493
may. 26,11,Saavedra,2.599,2.612,2.537,2.457
may. 26,12,Villa Devoto,2.691,2.643,2.532,2.400
may. 26,13,Nunez,2.590,2.411,2.517,2.486
may. 26,14,Villa Ortuzar,2.560,2.512,2.512,2.481
may. 26,15,Caballito,2.746,2.772,2.454,2.315
may. 26,16,Villa Crespo,2.701,2.622,2.453,2.278
may. 26,17,Parque Chas,2.451,2.252,2.410,2.365
may. 26,18,San Telmo,2.794,2.964,2.340,2.182
abr. 26,1,Puerto Madero,6.543,6.610,6.135,5.913
abr. 26,2,Nuñez,3.658,4.047,3.392,2.885
abr. 26,3,Palermo,3.919,4.169,3.391,3.040
abr. 26,4,Belgrano,3.887,3.948,3.251,2.814
abr. 26,5,Colegiales,3.476,3.557,3.032,2.614
abr. 26,6,Saavedra,3.050,3.594,2.852,2.526
abr. 26,7,Villa Urquiza,3.017,3.084,2.828,2.582
abr. 26,8,Coghlan,2.934,3.153,2.790,2.594
abr. 26,9,Chacarita,2.898,2.943,2.780,2.583
abr. 26,10,Recoleta,3.539,3.872,2.755,2.615
abr. 26,11,Villa Devoto,2.993,2.961,2.749,2.440
abr. 26,12,Villa Ortuzar,2.786,3.226,2.635,2.479
abr. 26,13,Retiro,3.439,3.867,2.623,2.520
abr. 26,14,Villa Crespo,2.843,2.841,2.547,2.218
abr. 26,15,Caballito,3.067,3.389,2.452,2.176
abr. 26,16,Parque Chas,2.501,2.707,2.444,2.366
abr. 26,17,Almagro,2.780,2.789,2.290,2.047
abr. 26,18,Villa del Parque,2.494,2.467,2.281,2.128
mar. 26,1,Puerto Madero,6.584,6.726,6.148,5.918
mar. 26,2,Nuñez,3.658,3.967,3.403,2.897
mar. 26,3,Palermo,3.929,4.128,3.390,3.031
mar. 26,4,Belgrano,3.873,3.947,3.243,2.818
mar. 26,5,Colegiales,3.478,3.567,3.038,2.613
mar. 26,6,Saavedra,3.043,3.569,2.835,2.525
mar. 26,7,Villa Urquiza,3.006,3.055,2.820,2.580
mar. 26,8,Coghlan,2.935,3.101,2.790,2.591
mar. 26,9,Chacarita,2.910,2.958,2.772,2.556
mar. 26,10,Villa Devoto,3.001,2.942,2.752,2.435
mar. 26,11,Recoleta,3.575,3.885,2.752,2.612
mar. 26,12,Retiro,3.427,3.563,2.629,2.534
mar. 26,13,Villa Ortuzar,2.769,3.217,2.626,2.485
mar. 26,14,Villa Crespo,2.829,2.830,2.538,2.218
mar. 26,15,Caballito,3.042,3.385,2.449,2.170
mar. 26,16,Parque Chas,2.487,2.614,2.438,2.362
mar. 26,17,Almagro,2.787,2.761,2.302,2.056
mar. 26,18,Villa del Parque,2.478,2.495,2.264,2.115
feb. 26,1,Puerto Madero,6.565,6.728,6.152,5.922
feb. 26,2,Nuñez,3.666,3.920,3.413,2.906
feb. 26,3,Palermo,3.933,4.082,3.390,3.033
feb. 26,4,Belgrano,3.867,3.932,3.229,2.813
feb. 26,5,Colegiales,3.481,3.573,3.049,2.620
feb. 26,6,Saavedra,3.050,3.543,2.826,2.507
feb. 26,7,Villa Urquiza,2.988,3.081,2.801,2.571
feb. 26,8,Coghlan,2.930,2.915,2.788,2.569
feb. 26,9,Chacarita,2.936,2.953,2.765,2.536
feb. 26,10,Villa Devoto,2.997,2.964,2.752,2.424
feb. 26,11,Recoleta,3.591,3.939,2.740,2.607
feb. 26,12,Retiro,3.422,4.521,2.627,2.530
feb. 26,13,Villa Ortuzar,2.740,3.157,2.615,2.498
feb. 26,14,Villa Crespo,2.818,2.824,2.529,2.213
feb. 26,15,Parque Chas,2.486,2.515,2.428,2.340
feb. 26,16,Caballito,2.987,3.391,2.420,2.161
feb. 26,17,Almagro,2.800,2.742,2.307,2.040
feb. 26,18,Villa del Parque,2.466,2.528,2.267,2.115
ene. 26,1,Puerto Madero,6.536,6.488,6.157,5.931
ene. 26,2,Nuñez,3.663,3.910,3.407,2.883
ene. 26,3,Palermo,3.917,4.051,3.387,3.033
ene. 26,4,Belgrano,3.850,3.868,3.214,2.799
ene. 26,5,Colegiales,3.490,3.568,3.060,2.625
ene. 26,6,Saavedra,3.063,3.528,2.825,2.492
ene. 26,7,Villa Urquiza,2.990,3.140,2.798,2.557
ene. 26,8,Coghlan,2.937,2.818,2.786,2.551
ene. 26,9,Chacarita,2.936,2.956,2.751,2.517
ene. 26,10,Villa Devoto,2.953,2.954,2.737,2.425
ene. 26,11,Recoleta,3.569,3.977,2.731,2.606
ene. 26,12,Retiro,3.389,5.662,2.625,2.528
ene. 26,13,Villa Ortuzar,2.737,3.061,2.619,2.510
ene. 26,14,Villa Crespo,2.824,2.834,2.532,2.206
ene. 26,15,Parque Chas,2.502,2.521,2.436,2.336
ene. 26,16,Caballito,2.957,3.391,2.402,2.153
ene. 26,17,Almagro,2.820,2.759,2.312,2.030
ene. 26,18,Villa del Parque,2.455,2.527,2.270,2.120
dic. 25,1,Puerto Madero,6.534,6.465,6.155,5.930
dic. 25,2,Palermo,3.900,4.005,3.386,3.029
dic. 25,3,Nuñez,3.630,3.956,3.384,2.870
dic. 25,4,Belgrano,3.839,3.822,3.208,2.802
dic. 25,5,Colegiales,3.492,3.568,3.061,2.619
dic. 25,6,Villa Urquiza,2.984,3.152,2.795,2.554
dic. 25,7,Saavedra,3.006,3.472,2.789,2.485
dic. 25,8,Coghlan,2.921,2.813,2.771,2.532
dic. 25,9,Chacarita,2.921,2.924,2.758,2.529
dic. 25,10,Recoleta,3.550,3.947,2.735,2.607
dic. 25,11,Villa Devoto,2.918,2.956,2.722,2.433
dic. 25,12,Retiro,3.364,5.555,2.622,2.530
dic. 25,13,Villa Ortuzar,2.729,3.065,2.613,2.512
dic. 25,14,Villa Crespo,2.810,2.837,2.518,2.189
dic. 25,15,Parque Chas,2.510,2.534,2.428,2.308
dic. 25,16,Caballito,2.946,3.351,2.407,2.152
dic. 25,17,Almagro,2.830,2.740,2.323,2.036
dic. 25,18,Villa del Parque,2.467,2.510,2.265,2.104
nov. 25,1,Puerto Madero,6.565,6.563,6.144,5.918
nov. 25,2,Palermo,3.893,3.976,3.393,3.035
nov. 25,3,Nuñez,3.598,4.007,3.367,2.889
nov. 25,4,Belgrano,3.829,3.807,3.203,2.806
nov. 25,5,Colegiales,3.491,3.561,3.053,2.609
nov. 25,6,Villa Urquiza,2.970,3.121,2.783,2.556
nov. 25,7,Coghlan,2.910,2.867,2.756,2.529
nov. 25,8,Chacarita,2.904,2.897,2.756,2.526
nov. 25,9,Saavedra,2.927,3.419,2.745,2.490
nov. 25,10,Recoleta,3.533,3.938,2.745,2.613
nov. 25,11,Villa Devoto,2.925,2.983,2.730,2.436
nov. 25,12,Retiro,3.356,5.047,2.609,2.520
nov. 25,13,Villa Ortuzar,2.711,2.976,2.598,2.508
nov. 25,14,Villa Crespo,2.802,2.835,2.506,2.173
nov. 25,15,Parque Chas,2.498,2.534,2.426,2.324
nov. 25,16,Caballito,2.942,3.281,2.412,2.153
nov. 25,17,Almagro,2.820,2.768,2.330,2.036
nov. 25,18,Villa del Parque,2.475,2.482,2.258,2.089
oct. 25,1,Puerto Madero,6.640,6.607,6.151,5.911
oct. 25,2,Palermo,3.884,3.989,3.398,3.044
oct. 25,3,Nuñez,3.575,4.042,3.360,2.900
oct. 25,4,Belgrano,3.799,3.772,3.191,2.804
oct. 25,5,Colegiales,3.496,3.539,3.048,2.598
oct. 25,6,Coghlan,2.926,2.956,2.765,2.540
oct. 25,7,Villa Urquiza,2.952,3.094,2.762,2.548
oct. 25,8,Recoleta,3.522,3.888,2.749,2.620
oct. 25,9,Chacarita,2.909,2.863,2.738,2.506
oct. 25,10,Villa Devoto,2.925,2.962,2.729,2.422
oct. 25,11,Saavedra,2.884,3.139,2.719,2.494
oct. 25,12,Retiro,3.330,4.646,2.613,2.527
oct. 25,13,Villa Ortuzar,2.692,2.830,2.588,2.503
oct. 25,14,Villa Crespo,2.813,2.866,2.507,2.186
oct. 25,15,Parque Chas,2.482,2.521,2.431,2.362
oct. 25,16,Caballito,2.961,3.243,2.413,2.155
oct. 25,17,Almagro,2.791,2.809,2.330,2.044
oct. 25,18,Villa Pueyrredon,2.385,2.422,2.272,2.230
sep. 25,1,Puerto Madero,6.701,6.764,6.163,5.923
sep. 25,2,Palermo,3.902,4.043,3.411,3.048
sep. 25,3,Nuñez,3.545,4.068,3.344,2.903
sep. 25,4,Belgrano,3.774,3.742,3.185,2.799
sep. 25,5,Colegiales,3.476,3.524,3.040,2.588
sep. 25,6,Villa Urquiza,2.943,3.079,2.756,2.552
sep. 25,7,Coghlan,2.922,2.968,2.756,2.527
sep. 25,8,Recoleta,3.497,3.829,2.753,2.629
sep. 25,9,Villa Devoto,2.924,2.914,2.724,2.415
sep. 25,10,Chacarita,2.905,2.843,2.717,2.478
sep. 25,11,Saavedra,2.862,2.882,2.706,2.494
sep. 25,12,Retiro,3.376,4.456,2.636,2.546
sep. 25,13,Villa Ortuzar,2.687,2.798,2.588,2.506
sep. 25,14,Villa Crespo,2.815,2.884,2.519,2.210
sep. 25,15,Caballito,2.984,3.225,2.420,2.159
sep. 25,16,Parque Chas,2.454,2.508,2.397,2.331
sep. 25,17,Almagro,2.775,2.816,2.323,2.056
sep. 25,18,Villa Pueyrredon,2.418,2.390,2.280,2.226
ago. 25,1,Puerto Madero,6.669,6.836,6.138,5.917
ago. 25,2,Palermo,3.923,4.081,3.426,3.053
ago. 25,3,Nuñez,3.496,4.065,3.312,2.896
ago. 25,4,Belgrano,3.739,3.738,3.166,2.793
ago. 25,5,Colegiales,3.430,3.491,3.023,2.582
ago. 25,6,Villa Urquiza,2.952,3.072,2.763,2.558
ago. 25,7,Recoleta,3.450,3.745,2.756,2.636
ago. 25,8,Coghlan,2.931,2.684,2.733,2.510
ago. 25,9,Villa Devoto,2.922,2.912,2.717,2.408
ago. 25,10,Chacarita,2.892,2.872,2.705,2.448
ago. 25,11,Saavedra,2.854,2.888,2.693,2.476
ago. 25,12,Retiro,3.477,3.738,2.647,2.546
ago. 25,13,Villa Ortuzar,2.692,2.803,2.588,2.504
ago. 25,14,Villa Crespo,2.803,2.871,2.512,2.205
ago. 25,15,Caballito,2.988,3.227,2.427,2.158
ago. 25,16,Parque Chas,2.429,2.532,2.370,2.308
ago. 25,17,Almagro,2.736,2.760,2.295,2.059
ago. 25,18,Villa Pueyrredon,2.403,2.358,2.263,2.207
jul 25,1,Puerto Madero,6.662,6.982,6.124,5.891
jul 25,2,Palermo,3.901,4.069,3.416,3.061
jul 25,3,Nuñez,3.462,4.113,3.284,2.887
jul 25,4,Belgrano,3.703,3.748,3.141,2.788
jul 25,5,Colegiales,3.416,3.448,3.025,2.586
jul 25,6,Recoleta,3.435,3.691,2.754,2.638
jul 25,7,Villa Urquiza,2.951,3.075,2.751,2.541
jul 25,8,Coghlan,2.966,2.739,2.739,2.527
jul 25,9,Chacarita,2.898,2.890,2.712,2.457
jul 25,10,Villa Devoto,2.901,2.948,2.698,2.404
jul 25,11,Saavedra,2.835,2.889,2.666,2.446
jul 25,12,Retiro,3.456,3.252,2.640,2.541
jul 25,13,Villa Ortuzar,2.654,2.810,2.575,2.510
jul 25,14,Villa Crespo,2.776,2.845,2.489,2.198
jul 25,15,Caballito,2.988,3.211,2.440,2.157
jul 25,16,Parque Chas,2.408,2.571,2.362,2.315
jul 25,17,Almagro,2.696,2.691,2.269,2.053
jul 25,18,Villa Pueyrredon,2.388,2.355,2.251,2.198
jun 25,1,Puerto Madero,6.829,6.832,6.129,5.843
jun 25,2,Palermo,3.858,4.025,3.399,3.075
jun 25,3,Nuñez,3.450,4.152,3.262,2.852
jun 25,4,Belgrano,3.687,3.701,3.125,2.779
jun 25,5,Colegiales,3.405,3.432,3.033,2.592
jun 25,6,Recoleta,3.454,3.701,2.747,2.633
jun 25,7,Coghlan,2.979,3.291,2.735,2.526
jun 25,8,Villa Urquiza,2.910,3.053,2.722,2.529
jun 25,9,Chacarita,2.911,2.895,2.714,2.446
jun 25,10,Villa Devoto,2.861,3.007,2.684,2.427
jun 25,11,Saavedra,2.791,2.826,2.634,2.434
jun 25,12,Retiro,3.405,3.316,2.620,2.522
jun 25,13,Villa Ortuzar,2.596,2.834,2.545,2.502
jun 25,14,Villa Crespo,2.753,2.821,2.472,2.202
jun 25,15,Caballito,2.957,3.101,2.428,2.156
jun 25,16,Parque Chas,2.376,2.492,2.332,2.292
jun 25,17,Almagro,2.677,2.725,2.253,2.042
jun 25,18,Villa Pueyrredon,2.383,2.247,2.244,2.192
may. 25,1,Puerto Madero,6.902,6.944,6.146,5.834
may. 25,2,Palermo,3.833,3.999,3.383,3.074
may. 25,3,Nuñez,3.419,4.046,3.226,2.826
may. 25,4,Belgrano,3.664,3.616,3.109,2.772
may. 25,5,Colegiales,3.394,3.433,3.021,2.591
may. 25,6,Recoleta,3.461,3.649,2.735,2.628
may. 25,7,Coghlan,2.930,2.975,2.704,2.498
may. 25,8,Chacarita,2.921,2.884,2.698,2.414
may. 25,9,Villa Urquiza,2.864,2.998,2.697,2.524
may. 25,10,Villa Devoto,2.808,3.018,2.660,2.434
may. 25,11,Retiro,3.405,3.316,2.604,2.505
may. 25,12,Saavedra,2.733,2.728,2.600,2.432
may. 25,13,Villa Ortuzar,2.557,2.849,2.520,2.489
may. 25,14,Villa Crespo,2.729,2.796,2.451,2.197
may. 25,15,Caballito,2.935,3.012,2.422,2.153
may. 25,16,Parque Chas,2.386,2.416,2.327,2.272
may. 25,17,Almagro,2.659,2.737,2.244,2.041
may. 25,18,Villa Pueyrredon,2.377,2.201,2.232,2.181
abr 25,1,Puerto Madero,6.897,7.164,6.153,5.836
abr 25,2,Palermo,3.803,4.011,3.363,3.079
abr 25,3,Nuñez,3.363,3.914,3.182,2.859
abr 25,4,Belgrano,3.670,3.584,3.111,2.779
abr 25,5,Colegiales,3.408,3.444,2.995,2.597
abr 25,6,Recoleta,3.467,3.628,2.728,2.628
abr 25,7,Coghlan,2.893,2.918,2.690,2.503
abr 25,8,Chacarita,2.944,2.881,2.685,2.413
abr 25,9,Villa Urquiza,2.830,2.963,2.672,2.514
abr 25,10,Villa Devoto,2.772,2.919,2.626,2.417
abr 25,11,Retiro,3.422,3.261,2.609,2.514
abr 25,12,Saavedra,2.682,2.684,2.562,2.426
abr 25,13,Villa Ortuzar,2.542,2.815,2.509,2.482
abr 25,14,Villa Crespo,2.710,2.754,2.435,2.202
abr 25,15,Caballito,2.908,2.978,2.424,2.162
abr 25,16,Parque Chas,2.418,2.416,2.351,2.286
abr 25,17,Almagro,2.629,2.687,2.238,2.052
abr 25,18,Villa Pueyrredon,2.402,2.266,2.225,2.166
mar. 25,1,Puerto Madero,6.824,6.907,6.095,5.836
mar. 25,2,Palermo,3.752,4.000,3.341,3.107
mar. 25,3,Nuñez,3.310,3.846,3.143,2.890
mar. 25,4,Belgrano,3.702,3.562,3.113,2.799
mar. 25,5,Colegiales,3.424,3.423,2.980,2.622
mar. 25,6,Recoleta,3.463,3.610,2.726,2.627
mar. 25,7,Coghlan,2.862,3.413,2.682,2.540
mar. 25,8,Chacarita,2.956,2.878,2.671,2.437
mar. 25,9,Villa Urquiza,2.798,2.922,2.658,2.526
mar. 25,10,Retiro,3.420,3.243,2.626,2.535
mar. 25,11,Villa Devoto,2.772,2.891,2.615,2.418
mar. 25,12,Saavedra,2.655,2.669,2.541,2.425
mar. 25,13,Villa Ortuzar,2.536,2.692,2.513,2.496
mar. 25,14,Villa Crespo,2.703,2.730,2.434,2.236
mar. 25,15,Caballito,2.859,2.945,2.416,2.186
mar. 25,16,Parque Chas,2.426,2.398,2.350,2.277
mar. 25,17,Almagro,2.612,2.643,2.229,2.058
mar. 25,18,Villa Pueyrredon,2.427,2.230,2.213,2.138
feb. 25,1,Puerto Madero,6.737,6.813,6.055,5.849
feb. 25,2,Palermo,3.706,3.947,3.289,3.070
feb. 25,3,Nuñez,3.270,3.668,3.093,2.816
feb. 25,4,Belgrano,3.696,3.532,3.072,2.771
feb. 25,5,Colegiales,3.432,3.353,2.952,2.598
feb. 25,6,Recoleta,3.482,3.526,2.708,2.607
feb. 25,7,Coghlan,2.819,3.243,2.661,2.537
feb. 25,8,Retiro,3.471,3.359,2.636,2.540
feb. 25,9,Chacarita,2.950,2.860,2.631,2.421
feb. 25,10,Villa Urquiza,2.745,2.855,2.620,2.503
feb. 25,11,Villa Devoto,2.745,2.916,2.593,2.378
feb. 25,12,Saavedra,2.632,2.639,2.526,2.393
feb. 25,13,Villa Ortuzar,2.541,2.565,2.480,2.431
feb. 25,14,Villa Crespo,2.710,2.719,2.406,2.206
feb. 25,15,Caballito,2.840,2.916,2.398,2.170
feb. 25,16,Parque Chas,2.416,2.350,2.335,2.241
feb. 25,17,Almagro,2.620,2.623,2.196,2.029
feb. 25,18,Parque Chacabuco,2.520,2.346,2.172,1.988
